gender,goal,level,muscle_split_type,focus_area,problem_area,body_type,age,workout_days,plan_title
MALE,GAIN MUSCLE,NOVICE,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_GAIN MUSCLE_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,GAIN MUSCLE,NOVICE,PUSH_PULL_LEGS,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_GAIN MUSCLE_NOVICE_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,GAIN MUSCLE,NOVICE,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_GAIN MUSCLE_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,GAIN MUSCLE,NOVICE,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_GAIN MUSCLE_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,GAIN MUSCLE,NOVICE,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,GAIN MUSCLE,NOVICE,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,GAIN MUSCLE,NOVICE,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,GAIN MUSCLE,NOVICE,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,GAIN MUSCLE,NOVICE,PUSH_PULL_LEGS,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_GAIN MUSCLE_NOVICE_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,STAY FIT,NOVICE,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,STAY FIT,NOVICE,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,STAY FIT,NOVICE,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,STAY FIT,NOVICE,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,STAY FIT,NOVICE,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,STAY FIT,NOVICE,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,STAY FIT,NOVICE,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,STAY FIT,NOVICE,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,SINGLE,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,SINGLE,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,LOSE WEIGHT,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,LOSE WEIGHT,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,PUSH_PULL_LEGS,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
