gender,age,body_type,level,goal,focus_area,muscle_split_type,workout_days,problem_area,plan_title
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,MULTI,4,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,MULTI,5,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,MULTI,6,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,PUSH_PULL_LEGS,6,NULL,MALE_GAIN MUSCLE_NOVICE_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,UPPER_LOWER,3,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,UPPER_LOWER,4,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,UPPER_LOWER,5,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,UPPER_LOWER,6,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,UPPER_LOWER,3,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,UPPER_LOWER,4,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,UPPER_LOWER,5,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,UPPER_LOWER,6,NULL,MALE_STAY FIT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,SINGLE,5,NULL,MALE_LOSE WEIGHT_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,SINGLE,6,NULL,MALE_LOSE WEIGHT_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,MULTI,3,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,MULTI,4,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,MULTI,5,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,MULTI,6,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,PUSH_PULL_LEGS,6,NULL,MALE_LOSE WEIGHT_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,UPPER_LOWER,3,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,UPPER_LOWER,4,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,UPPER_LOWER,5,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,NULL,UPPER_LOWER,6,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,SINGLE,5,NULL,MALE_LOSE WEIGHT_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,SINGLE,6,NULL,MALE_LOSE WEIGHT_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,MULTI,3,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,MULTI,4,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,MULTI,5,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,MULTI,6,NULL,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,PUSH_PULL_LEGS,6,NULL,MALE_LOSE WEIGHT_BEGINNER_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,UPPER_LOWER,3,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,UPPER_LOWER,4,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,UPPER_LOWER,5,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,LOSE WEIGHT,ABT,UPPER_LOWER,6,NULL,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,SINGLE,3,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,SINGLE,4,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,SINGLE,6,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,MULTI,3,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,MULTI,4,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,MULTI,6,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,PUSH_PULL_LEGS,3,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,PUSH_PULL_LEGS,4,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,NULL,PUSH_PULL_LEGS,6,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,SINGLE,3,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,SINGLE,4,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,SINGLE,6,NULL,MALE_BODY RECOMP_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,MULTI,3,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,MULTI,4,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,MULTI,6,NULL,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,PUSH_PULL_LEGS,3,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,PUSH_PULL_LEGS,4,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,BODY RECOMP,ABT,PUSH_PULL_LEGS,6,NULL,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,GAIN MUSCLE,NULL,SINGLE,5,NULL,MALE_GAIN MUSCLE_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,GAIN MUSCLE,NULL,SINGLE,6,NULL,MALE_GAIN MUSCLE_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,GAIN MUSCLE,NULL,MULTI,3,NULL,MALE_GAIN MUSCLE_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,BEGINNER,GAIN MUSCLE,NULL,MULTI,4,NULL,MALE_GAIN MUSCLE_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
